class_id,tier,kid,mode,kind,param,magnitude,level,t_frac,t_idx,s,clip_dev,dino_dev,lpips_dev,latmse_dev,equivariance_lpips,clip_pair_cosdist,dino_pair_cosdist,lpips_pair,latent_mse_pair
63,hardest,0.0875,ensemble,translation,,4.0,4.0,0.5,124,125,,,,,,0.10760600119829178,0.10191364586353302,0.5057199597358704,0.7014984488487244
63,hardest,0.0875,ensemble,translation,,6.0,6.0,0.5,124,125,,,,,,0.17360363900661469,0.12387723475694656,0.5785520076751709,0.8227600455284119
63,hardest,0.0875,sweep,scaling,0.8,0.2231435513142097,,0.5,124,125,0.049684882164001465,0.058622121810913086,0.3161257803440094,0.4532860219478607,0.37138494849205017,,,,
63,hardest,0.0875,sweep,scaling,0.9,0.10536051565782628,,0.5,124,125,0.0897977352142334,0.09021401405334473,0.32220029830932617,0.45928895473480225,0.3529229164123535,,,,
63,hardest,0.0875,sweep,scaling,1.0,0.0,,0.5,124,125,9.5367431640625e-07,8.344650268554688e-07,2.1041028048784938e-06,2.663412033143686e-07,2.1041028048784938e-06,,,,
63,hardest,0.0875,sweep,scaling,1.1,0.09531017980432493,,0.5,124,125,0.15810340642929077,0.15581315755844116,0.4113510251045227,0.5120574235916138,0.4282985329627991,,,,
63,hardest,0.0875,sweep,scaling,1.25,0.22314355131420976,,0.5,124,125,0.15579700469970703,0.15529870986938477,0.554909884929657,0.8256297707557678,0.5548239350318909,,,,
63,hardest,0.0875,sweep,scaling,1.5,0.4054651081081644,,0.5,124,125,0.13074225187301636,0.1691455841064453,0.534746527671814,0.8346599340438843,0.5774394869804382,,,,
63,hardest,0.0875,ensemble,scaling,,0.1,0.1,0.5,124,125,,,,,,0.08122493326663971,0.09586810320615768,0.27577850222587585,0.3440382182598114
63,hardest,0.0875,ensemble,scaling,,0.2,0.2,0.5,124,125,,,,,,0.08528637140989304,0.11250372976064682,0.37125855684280396,0.5037786364555359
63,hardest,0.0875,ensemble,scaling,,0.3,0.3,0.5,124,125,,,,,,0.13003678619861603,0.12977014482021332,0.4104110598564148,0.5536722540855408
63,hardest,0.0875,sweep,flip,0.0,0.0,,0.5,124,125,2.1457672119140625e-06,3.3974647521972656e-06,5.986063115415163e-06,1.207461309604696e-06,5.986063115415163e-06,,,,
63,hardest,0.0875,sweep,flip,1.0,1.0,,0.5,124,125,0.09500539302825928,0.09079068899154663,0.6897093057632446,0.8048614263534546,0.4581449627876282,,,,
63,hardest,0.0875,sweep,shear,0.0,0.0,,0.5,124,125,2.384185791015625e-06,2.5033950805664062e-06,8.20490822661668e-06,1.2722691735689295e-06,8.20490822661668e-06,,,,
63,hardest,0.0875,sweep,shear,0.05,0.05,,0.5,124,125,0.05584549903869629,0.04363065958023071,0.11475300788879395,0.1238662600517273,0.13215062022209167,,,,
63,hardest,0.0875,sweep,shear,0.1,0.1,,0.5,124,125,0.06524914503097534,0.06669241189956665,0.2402624487876892,0.3362453877925873,0.2430265247821808,,,,
63,hardest,0.0875,sweep,shear,0.2,0.2,,0.5,124,125,0.04960352182388306,0.06473046541213989,0.33173730969429016,0.46561741828918457,0.2700039744377136,,,,
63,hardest,0.0875,sweep,shear,0.3,0.3,,0.5,124,125,0.12787550687789917,0.12762534618377686,0.45943403244018555,0.597525417804718,0.38114655017852783,,,,
63,hardest,0.0875,ensemble,shear,,0.1,0.1,0.5,124,125,,,,,,0.049501728266477585,0.04901091381907463,0.18582341074943542,0.2355385273694992
63,hardest,0.0875,ensemble,shear,,0.2,0.2,0.5,124,125,,,,,,0.053309544920921326,0.05294949561357498,0.2773280143737793,0.36287492513656616
63,hardest,0.0875,ensemble,shear,,0.3,0.3,0.5,124,125,,,,,,0.08642784506082535,0.09864036738872528,0.35763734579086304,0.4741743206977844
63,hardest,0.0875,sweep,rotation,0.0,0.0,,0.7,75,174,1.3113021850585938e-06,4.172325134277344e-07,8.977661423159589e-07,3.009376925433571e-08,8.977661423159589e-07,,,,
63,hardest,0.0875,sweep,rotation,5.0,5.0,,0.7,75,174,0.0544048547744751,0.050574421882629395,0.2677512764930725,0.47463980317115784,0.23981450498104095,,,,
63,hardest,0.0875,sweep,rotation,10.0,10.0,,0.7,75,174,0.06274688243865967,0.05531609058380127,0.3914979100227356,0.7482315301895142,0.26581791043281555,,,,
63,hardest,0.0875,sweep,rotation,20.0,20.0,,0.7,75,174,0.09776192903518677,0.058972835540771484,0.541204035282135,0.9381993412971497,0.31651490926742554,,,,
63,hardest,0.0875,sweep,rotation,30.0,30.0,,0.7,75,174,0.07549011707305908,0.06794250011444092,0.5958675742149353,1.0842927694320679,0.3395346403121948,,,,
63,hardest,0.0875,sweep,rotation,45.0,45.0,,0.7,75,174,0.1716444492340088,0.2543015480041504,0.6845716238021851,1.0852844715118408,0.4269055724143982,,,,
63,hardest,0.0875,ensemble,rotation,,10.0,10.0,0.7,75,174,,,,,,0.03563348576426506,0.034241482615470886,0.2691513001918793,0.468839555978775
63,hardest,0.0875,ensemble,rotation,,20.0,20.0,0.7,75,174,,,,,,0.049882058054208755,0.05368015542626381,0.4074383080005646,0.684832751750946
63,hardest,0.0875,ensemble,rotation,,30.0,30.0,0.7,75,174,,,,,,0.07226932048797607,0.07445928454399109,0.49458152055740356,0.8014166951179504
63,hardest,0.0875,sweep,translation,0.0,0.0,,0.7,75,174,1.3113021850585938e-06,4.172325134277344e-07,8.977661423159589e-07,3.009376925433571e-08,8.977661423159589e-07,,,,
63,hardest,0.0875,sweep,translation,1.0,1.0,,0.7,75,174,0.03412681818008423,0.02601855993270874,0.1820010244846344,0.5118591785430908,0.12939226627349854,,,,
63,hardest,0.0875,sweep,translation,2.0,2.0,,0.7,75,174,0.04793083667755127,0.035619497299194336,0.3012468218803406,0.622266411781311,0.18141889572143555,,,,
63,hardest,0.0875,sweep,translation,4.0,4.0,,0.7,75,174,0.046744465827941895,0.04360169172286987,0.3944427967071533,0.7611632347106934,0.2065013200044632,,,,
63,hardest,0.0875,sweep,translation,6.0,6.0,,0.7,75,174,0.07163667678833008,0.04379701614379883,0.4504612386226654,0.8533672094345093,0.2317076325416565,,,,
63,hardest,0.0875,sweep,translation,8.0,8.0,,0.7,75,174,0.07522088289260864,0.05805933475494385,0.4651525616645813,0.8374485969543457,0.22958903014659882,,,,
63,hardest,0.0875,ensemble,translation,,2.0,2.0,0.7,75,174,,,,,,0.04873524606227875,0.046391479671001434,0.3399765193462372,0.6216503381729126
63,hardest,0.0875,ensemble,translation,,4.0,4.0,0.7,75,174,,,,,,0.048541609197854996,0.05367715284228325,0.45423102378845215,0.8153046369552612
63,hardest,0.0875,ensemble,translation,,6.0,6.0,0.7,75,174,,,,,,0.05925074964761734,0.07420371472835541,0.5520855188369751,0.922157347202301
63,hardest,0.0875,sweep,scaling,0.8,0.2231435513142097,,0.7,75,174,0.07429999113082886,0.054329514503479004,0.37769874930381775,0.713431715965271,0.2665267288684845,,,,
63,hardest,0.0875,sweep,scaling,0.9,0.10536051565782628,,0.7,75,174,0.11358827352523804,0.050696372985839844,0.2770492434501648,0.4261361360549927,0.2583596110343933,,,,
63,hardest,0.0875,sweep,scaling,1.0,0.0,,0.7,75,174,1.3113021850585938e-06,4.172325134277344e-07,8.977661423159589e-07,3.009376925433571e-08,8.977661423159589e-07,,,,
63,hardest,0.0875,sweep,scaling,1.1,0.09531017980432493,,0.7,75,174,0.06830662488937378,0.05924564599990845,0.2735479474067688,0.476112961769104,0.24296653270721436,,,,
63,hardest,0.0875,sweep,scaling,1.25,0.22314355131420976,,0.7,75,174,0.06389307975769043,0.08625364303588867,0.4075400233268738,0.8070220947265625,0.3189275562763214,,,,
63,hardest,0.0875,sweep,scaling,1.5,0.4054651081081644,,0.7,75,174,0.11883074045181274,0.08116459846496582,0.5642320513725281,1.0493526458740234,0.4841744005680084,,,,
63,hardest,0.0875,ensemble,scaling,,0.1,0.1,0.7,75,174,,,,,,0.039433516561985016,0.02885926514863968,0.1659747064113617,0.2456400841474533
63,hardest,0.0875,ensemble,scaling,,0.2,0.2,0.7,75,174,,,,,,0.04831049591302872,0.039193179458379745,0.26033923029899597,0.44945028424263
63,hardest,0.0875,ensemble,scaling,,0.3,0.3,0.7,75,174,,,,,,0.047439541667699814,0.04779977723956108,0.3204818665981293,0.5811983346939087
