class_id,class_name,difficulty,bin,t_centre,U_ens,U_route,U_attn,U_attn_block0,U_attn_block14,U_attn_block27
360,otter,medium,2,125,0.5058227273134085,,3.7387176984614072,5.383114154522236,3.9435683213747463,3.8257131576538086
360,otter,medium,3,175,0.4616890177130699,,3.7923219409726916,5.375773668289185,4.013621886571248,3.8892151912053428
360,otter,medium,4,225,0.417460920719,,3.848845111144767,5.374596339005691,4.084163445692796,3.948111185660729
360,otter,medium,5,275,0.37528220067421597,,3.9019456374503316,5.376937985420227,4.146493156750997,4.003286182880402
360,otter,medium,6,325,0.3353744584780473,,3.9553364783852962,5.3816226445711575,4.202623770787166,4.060483088860145
360,otter,medium,7,375,0.29822130004564923,,4.015083744767167,5.387736002604167,4.272179404894511,4.122440616289775
360,otter,medium,8,425,0.26758188238510716,,4.072303920001774,5.395674595466027,4.339352240929236,4.186419927156889
360,otter,medium,9,475,0.2294949380060037,,4.148009121417999,5.404750267664592,4.443834821383159,4.26961628595988
360,otter,medium,10,525,0.1996820904314518,,4.220912190420287,5.41408642133077,4.544736981391907,4.376838366190593
360,otter,medium,11,575,0.16328706649633554,,4.307002340371792,5.426795959472656,4.6662265337430515,4.538559070000281
360,otter,medium,12,625,0.12788175977766514,,4.405120953917503,5.4396986564000445,4.797492265701294,4.771764953931172
360,otter,medium,13,675,0.08224434921374688,,4.507350444466203,5.452794221731333,4.904839222247784,5.069645074697641
360,otter,medium,14,725,0.05183008468399445,,4.637625164574101,5.466263135274251,5.021237015724182,5.315563360850017
360,otter,medium,15,775,0.029624089025534116,,4.79786812211131,5.4772186646094685,5.125115357912504,5.444599848527175
360,otter,medium,16,825,0.021794905109951895,,4.971847545532953,5.484846433003743,5.221943577130635,5.49428649743398
360,otter,medium,17,875,0.016125308349728584,,5.121360266601646,5.488284734579233,5.308282742133508,5.509354738088755
360,otter,medium,18,925,0.022559549038608868,,5.222696840053512,5.48901371161143,5.373869021733602,5.511897881825765
360,otter,medium,19,975,0.04939468061694732,,5.286374523089482,5.48957740343534,5.41677713394165,5.5131546167226935
387,lesser panda,medium,0,25,0.5729433068862329,,3.620723986691171,5.437310842367319,3.7843028031862698,3.578069356771616
